Jak utworzyć pustą ramkę danych i przypisać ją do zmiennej df?,df = pd.DataFrame()
"Dane w postaci listy list, zostały podane jako pierwszy argument konstruktora klasy DataFrame. Jakie nazwy mają 2,3,4 i 5 argumenty pozycyjne tej klasy (zapisz po przecinku, ze spacją).","index, columns, dtype, copy"
"Utwórz instancję klasy DataFrame przypisaną do zmiennej pracownik. Dane powinny być przekazane w formie zmiennej dane_surowe, a indeksy danych to kolejno: id, nazwa, zarobki.","pracownik = pd.DataFrame(dane_surowe, [""id"", ""nazwa"", ""zarobki""])"
Czy każdy obiekt iterowalny może być argumentem data w konstruktorze klasy DataFrame?,nie
Jak wczytać plik dane.csv do DataFrame?,"pd.read_csv(""dane.csv"")"
Jak zapisać DataFrame do pliku dane.xlsx? Nie zapisuj kolumny z indeksem.,"df.to_excel(""dane.xlsx"", index = False)"
Jak wyświetlić pierwsze 20 wierszy DataFrame (df)?,df.head(20)
"Jak wyświetlić podstawowe dane o DataFrame (df), pokazujące między innymi nazwy kolumn i liczbę pustych wartości (non-null) dla każdej z kolumn?",df.info()
Jak sprawdzić podstawowe statystyki opisowe DataFrame (df)?,df.describe()
Jak filtrować wiersze na podstawie warunku: wartość kolumny zarobki większa od 1200?,"df[df[""zarobki""] > 1200]"
Jak dodać nową kolumnę (name) do DataFrame (df) i przypisać jej wartość zmiennej df_new_name?,"df[""name""] = df_new_name"
"Jak usunąć kolumnę (departure_time) z DataFrame (df), tak by zmiana dotyczyła aktualnego DataFrame, bez przypisywania wyniku do nowej zmiennej?","df.drop(""departure_time"", axis = 1, inplace = True)"
"Jak zmienić nazwę kolumny DataFrame (df), z name na name_verified?","df.rename(columns = {""name"" : ""name_verified""})"
"Jak posortować DataFrame (df) po kolumnie expenditures, malejąco?","df.sort_values(""expenditures"", ascending = False)"
Jak zresetować indeks w DataFrame (df) z usunięciem starego indeksu?,df.reset_index(drop = True)
Jak ustawić kolumnę name jako indeks w DataFrame (df)?,"df.set_index(""name"")"
Jak grupować dane po wartościach kolumny type w DataFrame (df)?,"df.groupby(""type"")"
Jak zliczyć wystąpienia unikalnych wartości w kolumnie touchdown_speed?,"df[""touchdown_speed""].values_counts()"
Jak sprawdzić unikalne wartości w kolumnie breed?,"df[""breed""].unique()"
"Jak połączyć dwa DataFrame (df_1, df_2)?","pd.concat([df_1, df_2])"
"Jak wypełnić brakujące dane wartością ""undefined""?","df.fillna(""undefined"")"
Jak usunąć wiersze z brakującymi danymi?,df.dropna()
"Jak zmienić typ danych kolumny ""speed"" na int (i podmienić istniejącą kolumnę)? ","df[""speed""] = df[""speed""].astype(int)"
Jak posortować indeksy df malejąco? Użyj argumentu nadpisujacego aktualny df.,"df.sort_index(ascending = False, inplace = True)"
Jak jednocześnie usunąć kolumny name i surname?,"df.drop(columns = [""name"", ""surname""])"
Jak usunąć duplikaty wierszy?,df.drop_duplicates()
Jak pobrać losowy wycinek 1000 wierszy DatatFrame (df)?,df.sample(n = 1000)
Jak pobrać 13 procent losowych wierszy z DataFrame (df)?,df.sample(frac = 1.3)
"Jak pobrać 114 wierszy o najwyższej wartości z kolumny sweetness,  i przypisać je do zmiennej sweetest?","sweetest = df.nlargest(114, ""sweetness"")"
Jak pobrać 34 wierszy o najniższej wartości kolumny g_1 i przypisać je do zmiennej z?,"z = df.nsmallest(34, ""g_1"")"
Jak pobrać 99 ostatnich wierszy z DataFrame (df)?,df.tail(99)
"Jak pobrać zawartość kolumn name, surname, address?","df[[""name"", ""surname"", ""address""]]"
"Jak pobrać zawartość kolumny ""dochód brutto""?","df[""dochód brutto""]"
Jak pobrać wiersze od 24 do 76?,df.iloc[24:76]
"Jak pobrać kolumny 3,5,7 przy użyciu iloc?","df.iloc[:, [3, 5, 7]]"
"Jak pobrać wiersze z kolumn n i m, dla których wartość kolumny z jest większa niż 10?","df.loc[df[""z""] > 10, [""n"", ""m""]]"
"Jak pobrać wiersze z kolumny k, dla których wartość kolumny v jest niższa lub równa 1?","df.loc[df[""v""] <= 1, ""k""]"
"Jak pobrać wartość z kolumny A, wiersza 13 przy użyciu at?","df.at[13, ""A""]"
Jak sprawdzić ilość wierszy DataFrame w najkrótszy sposób?,len(df)
Jak sprawdzić ile DataFrame ma wierszy i kolumn?,df.shape
Jak sprawdzić ilość unikalnych wartości w kolumnie f?,"df[""f""].nunique()"
Jak zsumować wartości serii df['z']?,"df[""z""].sum()"
Jak pobrać wartości dla 98 centyla w kolumnie z?,"df[""z""].quantile(0.98)"
Jak pobrać wartości powyżej 98 centyla dla kolumny z?,"df[df[""z""] > df[""z""].quantile(0.98)]"
"Jak pobrać wartości kolumny name, dla wartości kolumny z powyżej 98 centyla? (użyj funkcji loc)","df.loc[df[""z""] > df[""z""].quantile(0.98), ""name""]"
"W jaki sposób przerobić (obrócić) DataFrame tak by indeksami byly wartości kolumny foo, wartościami kolumn były wartości kolumny bar, a obserwacjami wartości kolumny baz? (zapisz nazwane argumenty w podanej kolejności)","df.pivot(index = ""foo"", columns = ""bar"", values = ""baz"")"
Jak pobrać wartość mediany (wartości środkowej) dla kolumny j?,"df[""j""].median()"
"Jak podzielić kolumnę ""długość_racic"" na 10 przedziałów (koszyków) bez etykiet (z numerami grup)?","pd.qcut(df[""długość_racic""], 10, labels = False)"
"Zapisz w zmiennej z wartości kolumny k z wierszy, gdzie v jest większe niż 10?","z = df.loc[df[""v""] > 10, ""k""]"
Zlicz liczbę unikalnych wartości w kolumnie k i zapisz w n?,"n = df[""k""].nunique()"
Zwróć największą wartość z kolumny wartość jako max_val.,"max_val = df[""wartość""].max()"
Wyciągnij tylko unikalne wartości z kolumny typ jako listę unikalne_typy.,"unikalne_typy = df[""typ""].unique().tolist()"
Policz liczbę braków (NaN) w kolumnie waga i zapisz do n_nan.,"n_nan = df[""waga""].isna().sum()"
Zastąp wszystkie wartości NaN w kolumnie wiek wartością 0.,"df[""wiek""] = df[""wiek""].fillna(0)"
"Zwróć indeksy wierszy, gdzie status to 'aktywne'.","df.index[df[""status""] == ""aktywne""]"
Zwróć średnią wartość kolumny czas do zmiennej srednia.,"srednia = df[""czas""].mean()"
Posortuj dane rosnąco po kolumnie data i zapisz do df_sorted.,"df_sorted = df.sort_values(""data"")"
"Wybierz tylko kolumny a, b, c i zapisz do df_subset.","df_subset = df[[""a"", ""b"", ""c""]]"
"Dodaj nową kolumnę suma, która jest sumą kolumn a i b.","df[""suma""] = df[""a""] + df[""b""]"
"Policz liczbę wierszy, gdzie płeć to 'K' i przypisz ją do zmiennej liczba_k.","liczba_k = (df[""płeć""] == ""K"").sum()"
"Zwróć pierwsze 3 wiersze z kolumnami imie, nazwisko.","df[[""imie"", ""nazwisko""]].head(3)"
"Zamień wszystkie wystąpienia ""tak"" na True w kolumnie zgoda.","df[""zgoda""] = df[""zgoda""] == ""tak"""
Oblicz odchylenie standardowe kolumny tempo i zapisz jako std_tempo.,"std_tempo = df[""tempo""].std()"
"Zachowaj tylko te wiersze, gdzie ocena nie jest pusta","df = df[df[""ocena""].notna()]"
"Zwróć liczby wierszy w każdej grupie grupa, jako Series rozmiary.","rozmiary = df.groupby(""grupa"").size()"
Dodaj kolumnę kolejność z numerami wierszy od 0 do N.,"df[""kolejność""] = range(len(df))"
Zwróć top 5 najczęstszych wartości w kolumnie 'kategoria' z ich licznością.,"df[""kategoria""].value_counts().head(5)"
"Zsumuj wartości kolumny 'kwota' tylko dla wierszy, gdzie 'typ' to 'przychód'.","df.loc[df[""typ""] == ""przychód"", ""kwota""].sum()"
Policz średnią kolumny 'czas' dla każdej kategorii w kolumnie 'typ'.,"df.groupby(""typ"")[""czas""].mean()"
"Wybierz wiersze, gdzie 'nazwa' zaczyna się na 'A'.","df[df[""nazwa""].str.startswith(""A"")]"
Zwróć tylko kolumny zawierające dane typu liczbowego.,"df.select_dtypes(include = ""number"")"
Zwróć nazwę kolumny o największej liczbie unikalnych wartości.,df.nunique().idxmax()
Zamień wartości 'tak' i 'nie' w kolumnie 'zgoda' na True/False.,"df[""zgoda""] = df[""zgoda""].map({""tak"": True, ""nie"": False})"
Usuń duplikaty względem kolumny 'email'.,"df = df.drop_duplicates(""email"")"
"Zwróć kolumny, które nie zawierają żadnych braków danych.","df.loc[:, df.notna().all()]"
Dodaj kolumnę 'rok' wyodrębnioną z kolumny 'data' typu datetime (dt).,"df[""rok""] = df[""data""].dt.year"
Oblicz medianę dla każdej kolumny typu liczbowego.,df.median(numeric_only = True)
"Usuń wiersze, gdzie którakolwiek wartość jest NaN.",df = df.dropna()
Przeskaluj wartości w kolumnie 'ocena' do zakresu 0-1 i zapisz w zmiennej ocena_przeskalowana.,"ocena_przeskalowana = (df[""ocena""] - df[""ocena""].min()) / (df[""ocena""].max() - df[""ocena""].min())"
Zamień typ kolumny 'kod' na kategoryczny.,"df[""kod""] = df[""kod""].astype(""category"")"
Zastosuj logarytm naturalny do wszystkich wartości liczbowych.,"df.select_dtypes(""number"").apply(np.log)"
Zwróć 3 kolumny z największą liczbą braków danych.,df.isna().sum().nlargest(3)
Zamień wszystkie teksty w kolumnie 'nazwa' na małe litery.,"df[""nazwa""] = df[""nazwa""].str.lower()"
Zlicz liczbę wartości w kolumnie 'wiek' dla przedziałów co 10 lat.,"pd.cut(df[""wiek""], bins=range(0, df[""wiek""].max() + 10, 10)).value_counts()"
Dodaj kolumnę 'duże_litery' z liczbą dużych liter w kolumnie 'tekst'.,"df[""duże_litery""] = df[""tekst""].str.count(r""[A-Z]"")"
"Zwróć wiersze, gdzie długość tekstu w kolumnie 'opis' przekracza 100 znaków.","df[df[""opis""].str.len() > 100]"
Zamień puste stringi w kolumnie 'miasto' na NaN.,"df[""miasto""].replace("""", np.nan, inplace=True)"
"Dodaj kolumnę 'has_email', gdzie True jeśli 'email' zawiera '@'.","df[""has_email""] = df[""email""].str.contains(""@"")"
Zamień wartości w kolumnie 'ocena' na rangę percentylową (0-100).,"df[""ocena_pct""] = df[""ocena""].rank(pct = True) * 100"
"Zwróć tylko te kolumny, które zawierają więcej niż 10 unikalnych wartości.","df.loc[:, df.nunique() > 10]"
Oblicz korelację kolumny 'x' z innymi kolumnami liczbowymi.,"df.corr(numeric_only = True)[""x""]"
"Zwróć indeksy wierszy, gdzie kolumna 'komentarz' zawiera słowo 'błąd'.","df.index[df[""komentarz""].str.contains(""błąd"", na = False)]"
Utwórz maskę logiczną dla wartości odstających w kolumnie 'czas' (ponad 3 std).,"abs(df[""czas""] - df[""czas""].mean()) > 3 * df[""czas""].std()"
Zlicz częstość kombinacji wartości kolumn 'kraj' i 'miasto'.,"df.groupby([""kraj"", ""miasto""]).size()"
Zamień daty w kolumnie 'data' na dzień tygodnia jako string i przypisz do kolumny dzien.,"df[""dzien""] = df[""data""].dt.day_name()"
Wyciągnij cyfry z kolumny 'kod_pocztowy' jako nową kolumnę kod.,"df[""kod""] = df[""kod_pocztowy""].str.extract(""(\d+)"")"
Wyświetl 5 ostatnich wierszy posortowanych malejąco po kolumnie 'wynik'.,"df.sort_values(""wynik"", ascending = False).tail(5)"
Policz liczbę wystąpień każdego typu danych w DataFrame.,df.dtypes.value_counts()
"Zwróć tylko te wiersze, gdzie 'wiek' jest liczbą całkowitą.","df[df[""wiek""] % 1 == 0]"
"Użyj jednej linii, by zmienić nazwy kolumn na małe litery bez spacji.","df.columns = df.columns.str.lower().str.replace("" "", ""_"")"
